index,title
1,국가부도의 날
2,보헤미안 랩소디
3,성난황소
4,완벽한 타인
5,후드
6,신비한 동물들과 그린델왈드의 범죄
7,거미줄에 걸린 소녀
8,베일리 어게인
9,바울
10,로빈슨의 언더워터 어드벤처
11,출국
12,폴란드로 간 아이들
13,저니스 엔드
14,SIFF2018 - 벌새
15,28세 미성년
16,번 더 스테이지: 더 무비
17,SIFF2018 - 나는보리
18,SIFF2018 - 사령혼: 죽은 넋
19,스타 이즈 본
20,영주
