name,point
한여름의 판타지아,250.56000000000017
꾼,250.14
여배우는 오늘도,248.68999999999994
시카리오: 암살자의 도시,247.8199999999999
몬스터 패밀리,247.73999999999995
족구왕,247.70999999999992
택시운전사,244.62000000000003
번지 점프를 하다,243.26999999999992
"나는 내일, 어제의 너와 만난다",242.91000000000003
퍼시픽 림: 업라이징,241.49000000000007
게이트,239.70999999999995
토르: 라그나로크,239.49000000000007
"스탠바이, 웬디",238.91
휘트니,235.8900000000001
중2병이라도 사랑이 하고 싶어! 테이크 온 미,235.7799999999999
골든슬럼버,235.45999999999995
레옹,234.25000000000006
피아니스트,233.03000000000014
그래비티,231.83
꾸뻬씨의 행복여행,230.85000000000008
데어 윌 비 블러드,228.71999999999989
바울,228.32000000000002
기억의 밤,226.61
안경,223.5999999999999
펀치 드렁크 러브,222.09000000000012
업그레이드,221.14000000000004
카모메 식당,217.66000000000003
레드 스패로,211.53000000000003
옥자,211.47000000000008
레슬러,209.44999999999996
메리와 마녀의 꽃,209.31999999999994
단지 세상의 끝,208.7900000000001
한 솔로: 스타워즈 스토리,208.40999999999994
툼레이더,208.29
청설,207.22999999999996
염력,206.67000000000002
아가씨,205.83
바람 바람 바람,204.50999999999996
인시디어스4: 라스트 키,202.73999999999998
파수꾼,202.17999999999998
고양이를 빌려드립니다,202.11000000000013
빠삐용,201.83000000000007
건축학개론,198.95000000000007
펭귄 하이웨이,197.84
록키 호러 픽쳐 쇼,197.06999999999994
매그놀리아,196.88000000000005
벤허,193.62
여중생A,189.60999999999999
배드 지니어스,189.12999999999997
더 프레데터,188.21
시인의 사랑,186.00999999999996
"가장 따뜻한 색, 블루",185.11
브레이브하트,185.0
바람과 함께 사라지다,184.49999999999994
할로윈,183.42999999999995
블레이드 러너,183.32999999999998
"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",183.0599999999999
창궐,182.43999999999994
월터의 상상은 현실이 된다,181.77999999999997
폴란드로 간 아이들,180.48000000000002
다음 침공은 어디?,179.4
델타 보이즈,175.7199999999999
킹 오브 프리즘,174.64000000000001
저스티스 리그,174.16
반드시 잡는다,173.51000000000002
굿모닝 맨하탄,169.38000000000002
물괴,168.44
마담 프루스트의 비밀정원,168.34000000000003
현기증,166.51999999999998
여고괴담 두번째 이야기,166.02
범죄도시,164.89999999999995
싸이코,164.57000000000002
당신의 부탁,164.33999999999997
직쏘,163.67999999999995
오직 사랑하는 이들만이 살아남는다,162.75
동네사람들,162.36999999999998
허리케인 하이스트,156.45999999999998
빅,156.21999999999997
플래툰,155.71999999999997
렛 미 인,153.34999999999997
싱글 맨,152.1
번 더 스테이지: 더 무비,151.55
출국,150.27000000000004
낮술,149.75999999999993
하하하,145.79999999999995
어쌔신: 더 비기닝,145.45
싱 스트리트,144.09000000000003
그 후,142.82999999999998
치즈인더트랩,142.59999999999997
라빠르망,141.4
배반의 장미,140.32
굿 윌 헌팅,139.95000000000002
제로 다크 서티,138.71999999999997
온리 더 브레이브,138.66
물랑 루즈,136.35000000000002
7년의 밤,136.27999999999997
빅풋 주니어,133.8
상류사회,133.64000000000001
최악의 하루,133.35999999999999
판의 미로 - 오필리아와 세 개의 열쇠,131.34000000000006
어드리프트:우리가 함께한 바다,130.65
해피 투게더,129.33999999999997
메소드,128.62
다운사이징,128.04000000000002
눈길,127.99000000000004
"색, 계",127.79999999999995
몬스터 콜,127.64000000000001
윈드 리버,126.23
"조제, 호랑이 그리고 물고기들",126.14000000000003
러브 액츄얼리,125.87999999999998
원스,125.85999999999997
우린 액션배우다,125.44000000000005
거인,122.77999999999996
마일 22,122.34999999999998
문라이즈 킹덤,121.94999999999997
행복한 사전,121.38000000000001
록키,120.93999999999998
잠깐만 회사 좀 관두고 올게,120.27
스쿨 오브 락,119.73000000000005
마징가 Z: 인피니티,119.60999999999997
공범자들,119.05999999999999
버킷리스트: 죽기 전에 꼭 하고 싶은 것들,117.92999999999998
살인소설,117.27
해피 데스데이,116.81
행복을 찾아서,115.70000000000003
경주,115.11999999999996
120BPM,114.35000000000004
무간도 2 - 혼돈의 시대,112.71000000000001
신비한 동물들과 그린델왈드의 범죄,112.43
플립,110.16000000000003
북촌방향,109.61999999999999
지옥의 묵시록,109.46000000000001
무간도,109.19999999999997
벽 속에 숨은 마법시계,108.61999999999998
레이,108.40999999999997
자유의 언덕,107.10000000000002
마당을 나온 암탉,106.55999999999999
순정,105.23999999999997
프란시스 하,105.03999999999999
베이비 드라이버,104.91999999999996
더 테이블,104.27
경성학교: 사라진 소녀들,104.04000000000002
메가로돈,102.83999999999999
말할 수 없는 비밀,101.96999999999997
여곡성,101.67000000000002
목격자,100.98000000000002
다가오는 것들,100.19999999999997
아바타,99.68
두 번의 결혼식과 한 번의 장례식,96.96
밤의 해변에서 혼자,96.21999999999997
레이디버그,96.0
에곤 쉴레: 욕망이 그린 그림,95.08000000000001
누구의 딸도 아닌 해원,94.5
범죄의 여왕,93.93999999999997
사운드 오브 뮤직,93.7
하이큐!! 재능과 센스,91.79000000000002
레전드,91.39
나라타주,90.72000000000004
주문은 토끼입니까?? ~디어 마이 시스터~,86.94
자전거 탄 소년,85.8
4등,85.3
걷기왕,84.70000000000002
"서서평, 천천히 평온하게",82.98
속닥속닥,81.66999999999999
지슬 - 끝나지 않은 세월2,80.1
데자뷰,80.02
프랭크,79.43
넛잡 2,79.41999999999999
조용한 가족,78.55
어거스트 : 가족의 초상,77.8
예수는 역사다,76.8
울지마 톤즈,74.72000000000001
