영화명,평점,"런닝타임,시간",배우
마다가스카의 펭귄 (2014),7.5,"92분, 전체관람가 ","톰 맥그래스,크리스 밀러,콘래드 버논,크리스토퍼 나이츠,존 말코비치,베네딕트 컴버배치,피터 스토메어,켄 정,애넷 마헨드루,장광,고성일,정재헌,엄상현,하성용,전태열,방성준,박신희,이장원,"
아이스 에이지 4 : 대륙 이동설 (2012),8.1,"92분, 전체관람가 ","레이 로마노,퀸 라티파,존 레귀자모,데니스 리어리,제니퍼 로페즈,"
공모자들 (2012),7.2,"111분, 청소년관람불가 ","임창정,최다니엘,"
임금님의 사건수첩 (2016),7.1,"114분, 12세이상관람가 ","이선균,안재홍,"
마다가스카 3 : 이번엔 서커스다! (2012),8.3,"94분, 전체관람가 ","벤 스틸러,크리스 록,데이빗 쉼머,제이다 핀켓 스미스,"
우아한 거짓말 (2014),8.3,"117분, 12세이상관람가 ","김희애,고아성,김유정,김향기,"
하울링 (2012),7.1,"114분, 15세이상관람가 ","송강호,이나영,"
두근두근 내 인생 (2014),6.4,"117분, 12세이상관람가 ","강동원,송혜교,조성목,"
스타트렉 다크니스 (2013),8.5,"132분, 12세이상관람가 ","크리스 파인,재커리 퀸토,조 샐다나,칼 어번,베네딕트 컴버배치,"
창궐 (2018),5.7,"121분, 15세이상관람가 ","현빈,장동건,"
더 폰 (2015),5.9,"114분, 15세이상관람가 ","손현주,엄지원,배성우,"
300 : 제국의 부활 (2014),5.8,"102분, 청소년관람불가 ","설리반 스태플턴,에바 그린,레나 헤디,한스 매디슨,로드리고 산토로,"
라이프 오브 파이 (2012),8.3,"126분, 전체관람가 ","수라즈 샤르마,이르판 칸,"
위플래쉬 (2014),8.4,"106분, 15세이상관람가 ","마일스 텔러,J. K. 시몬스,"
용의자X (2012),7.7,"110분, 15세이상관람가 ","류승범,이요원,조진웅,"
오블리비언 (2013),7.7,"124분, 15세이상관람가 ","톰 크루즈,모건 프리먼,올가 쿠릴렌코,"
몬스터 호텔 2 (2015),7.4,"89분, 전체관람가 ","컬투,아담 샌들러,셀레나 고메즈,앤디 샘버그,케빈 제임스,스티브 부세미,"
엑소더스: 신들과 왕들 (2014),5.6,"154분, 12세이상관람가 ","크리스찬 베일,조엘 에저튼,"
리틀 포레스트 (2017),8.3,"103분, 전체관람가 ","김태리,류준열,문소리,진기주,"
인디펜던스 데이: 리써전스 (2016),6.0,"120분, 12세이상관람가 ","빌 풀먼,리암 헴스워스,제프 골드블럼,비비카 A. 폭스,제시 어셔,"
차이나타운 (2014),6.5,"110분, 청소년관람불가 ","김혜수,김고은,"
부라더 (2017),6.7,"102분, 12세이상관람가 ","마동석,이동휘,이하늬,"
해무 (2014),6.7,"111분, 청소년관람불가 ","김윤석,박유천,한예리,문성근,김상호,유승목,이희준,"
새미의 어드벤쳐 2 (2012),8.8,"92분, 전체관람가 ","아이유,이기광,김원효,팻 캐롤,카를로스 맥컬러스 II,"
위대한 개츠비 (2013),7.6,"142분, 15세이상관람가 ","레오나르도 디카프리오,토비 맥과이어,캐리 멀리건,"
인간중독 (2014),6.1,"132분, 청소년관람불가 ","송승헌,임지연,"
다이하드 : 굿 데이 투 다이 (2013),6.6,"96분, 15세이상관람가 ","브루스 윌리스,제이 코트니,메리 엘리자베스 윈스티드,"
탐정 홍길동: 사라진 마을 (2015),7.4,"126분, 15세이상관람가 ","이제훈,김성균,"
런닝맨 (2013),7.6,"127분, 15세이상관람가 ","신하균,이태리,김상호,조은지,오정세,"
위대한 쇼맨 (2017),8.9,"104분, 12세이상관람가 ","휴 잭맨,잭 에프론,"
벤허 (2016),7.3,"123분, 12세이상관람가 ","잭 휴스턴,토비 켑벨,모건 프리먼,로드리고 산토로,나자닌 보니아디,"
말레피센트 (2014),8.0,"97분, 12세이상관람가 ","안젤리나 졸리,엘르 패닝,"
기억의 밤 (2017),7.8,"109분, 15세이상관람가 ","강하늘,김무열,"
골든슬럼버 (2017),5.3,"108분, 15세이상관람가 ","강동원,김의성,한효주,김성균,김대명,"
램페이지 (2018),6.7,"107분, 12세이상관람가 ","드웨인 존슨,제프리 딘 모건,조 맹가니엘로,"
해피 데스데이 (2017),7.4,"96분, 15세이상관람가 ","제시카 로테,이스라엘 브루사드,"
폼페이: 최후의 날 (2014),7.7,"104분, 15세이상관람가 ","키트 해링턴,캐리 앤 모스,에밀리 브라우닝,애디왈레이 애키누에이아그바제이,제시카 루카스,자레드 해리스,키퍼 서덜랜드,"
브이아이피 (2016),6.1,"128분, 청소년관람불가 ","김명민,장동건,박희순,이종석,"
특별시민 (2016),6.4,"130분, 15세이상관람가 ","최민식,곽도원,심은경,"
퓨리 (2014),7.9,"134분, 15세이상관람가 ","브래드 피트,로건 레먼,샤이아 라보프,마이클 페나,존 번달,"
차형사 (2012),6.8,"110분, 15세이상관람가 ","강지환,성유리,"
은교 (2012),6.9,"129분, 청소년관람불가 ","박해일,김무열,김고은,"
궁합 (2018),6.5,"110분, 12세이상관람가 ","심은경,이승기,"
오션스8 (2018),6.9,"110분, 12세이상관람가 ","산드라 블록,케이트 블란쳇,앤 해서웨이,민디 캘링,사라 폴슨,아콰피나,리한나,헬레나 본햄 카터,"
미스터 고 (2013),7.6,"133분, 12세이상관람가 ","링링,성동일,서교,"
굿 다이노 (2015),8.1,"101분, 전체관람가 ","레이몬드 오초아,잭 브라이트,"
드라큘라: 전설의 시작 (2014),7.4,"92분, 15세이상관람가 ","루크 에반스,도미닉 쿠퍼,"
사라진 밤 (2017),6.9,"101분, 15세이상관람가 ","김상경,김강우,김희애,"
가디언즈 오브 갤럭시 VOL. 2 (2017),8.2,"136분, 12세이상관람가 ","크리스 프랫,조 샐다나,"
간첩 (2012),5.5,"115분, 15세이상관람가 ","김명민,유해진,염정아,변희봉,정겨운,"
