영화명,평점,"런닝타임,시간",배우
보헤미안 랩소디 (2018),9.0,"134분, 12세이상관람가 ","라미 말렉,루시 보인턴,귈림 리,벤 하디,조셉 마젤로,"
블랙 팬서 (2018),6.1,"134분, 12세이상관람가 ","채드윅 보스만,마이클 B. 조던,루피타 니옹,"
더 킹 (2016),7.4,"134분, 15세이상관람가 ","조인성,정우성,배성우,류준열,김의성,"
트랜스포머: 사라진 시대 (2014),6.1,"164분, 12세이상관람가 ","마크 월버그,니콜라 펠츠,잭 레이너,"
월드워Z (2013),7.3,"115분, 15세이상관람가 ","브래드 피트,"
타워 (2012),6.7,"121분, 12세이상관람가 ","설경구,손예진,김상경,"
미녀와 야수 (2017),6.9,"129분, 전체관람가 ","엠마 왓슨,댄 스티븐스,루크 에반스,"
독전 (2018),6.6,"2018.07.18(재개봉)","이해영,"
완벽한 타인 (2018),7.6,"115분, 15세이상관람가 ","유해진,조진웅,이서진,염정아,김지수,송하윤,윤경호,"
공작 (2018),8.3,"137분, 12세이상관람가 ","황정민,이성민,조진웅,주지훈,"
인사이드 아웃 (2015),8.4,"102분, 전체관람가 ","에이미 포엘러,필리스 스미스,리차드 카인드,빌 헤이더,루이스 블랙,민디 캘링,케이틀린 디아스,"
킹스맨: 골든 서클 (2017),6.5,"141분, 청소년관람불가 ","콜린 퍼스,줄리안 무어,태런 에저튼,"
바람과 함께 사라지다 (2012),7.2,"121분, 12세이상관람가 ","차태현,오지호,민효린,성동일,신정근,고창석,"
마션 (2015),7.3,"142분, 12세이상관람가 ","맷 데이먼,제시카 차스테인,"
토르 : 라그나로크 (2017),6.8,"130분, 12세이상관람가 ","크리스 헴스워스,톰 히들스턴,케이트 블란쳇,"
어메이징 스파이더맨 2 (2014),6.7,"142분, 12세이상관람가 ","앤드류 가필드,엠마 스톤,제이미 폭스,데인 드한,"
"님아, 그 강을 건너지 마오 (2014)",9.0,"85분, 전체관람가 ","조병만,강계열,"
군도:민란의 시대 (2014),7.2,"137분, 15세이상관람가 ","하정우,강동원,"
범죄와의 전쟁 : 나쁜놈들 전성시대 (2011),8.3,"133분, 청소년관람불가 ","최민식,하정우,"
주토피아 (2016),8.4,"108분, 전체관람가 ","지니퍼 굿윈,제이슨 베이트먼,"
엣지 오브 투모로우 (2014),8.1,"113분, 12세이상관람가 ","톰 크루즈,에밀리 블런트,"
신세계 (2012),8.6,"134분, 청소년관람불가 ","이정재,최민식,황정민,"
신비한 동물사전 (2016),7.0,"132분, 12세이상관람가 ","에디 레드메인,캐서린 워터스턴,콜린 파렐,"
내 아내의 모든 것 (2012),8.2,"121분, 15세이상관람가 ","임수정,이선균,류승룡,"
판도라 (2016),7.7,"136분, 12세이상관람가 ","김남길,김영애,문정희,정진영,"
연가시 (2012),6.8,"109분, 15세이상관람가 ","김명민,문정희,김동완,이하늬,"
강철비 (2017),8.5,"139분, 15세이상관람가 ","정우성,곽도원,"
엑스맨: 데이즈 오브 퓨처 패스트 (2014),7.9,"134분, 12세이상관람가 ","휴 잭맨,제임스 맥어보이,마이클 패스벤더,패트릭 스튜어트,이안 맥켈런,제니퍼 로렌스,할리 베리,엘렌 페이지,"
아가씨 (2016),6.8,"145분, 청소년관람불가 ","김민희,김태리,하정우,"
어메이징 스파이더맨 2 (2014),6.7,"142분, 12세이상관람가 ","앤드류 가필드,엠마 스톤,제이미 폭스,데인 드한,"
용의자 (2013),7.9,"137분, 15세이상관람가 ","공유,"
건축학개론 (2012),8.4,"118분, 12세이상관람가 ","엄태웅,한가인,이제훈,수지,"
댄싱퀸 (2012),8.6,"124분, 12세이상관람가 ","황정민,엄정화,"
꾼 (2017),6.6,"116분, 15세이상관람가 ","현빈,유지태,배성우,박성웅,나나,안세하,"
혹성탈출: 반격의 서막 (2014),7.6,"130분, 12세이상관람가 ","앤디 서키스,제이슨 클락,게리 올드만,"
타짜-신의 손 (2014),6.2,"147분, 청소년관람불가 ","T.O.P,신세경,곽도원,이하늬,"
쿵푸팬더3 (2016),7.7,"95분, 전체관람가 ","잭 블랙,안젤리나 졸리,더스틴 호프만,"
캡틴 아메리카: 윈터 솔져 (2014),8.2,"136분, 15세이상관람가 ","크리스 에반스,"
박수건달 (2012),7.5,"128분, 15세이상관람가 ","박신양,김정태,엄지원,정혜영,"
베놈 (2018),7.2,"107분, 15세이상관람가 ","톰 하디,미셀 윌리엄스,"
조선명탐정 : 사라진 놉의 딸 (2014),7.1,"125분, 12세이상관람가 ","김명민,오달수,이연희,"
역린 (2014),7.3,"135분, 15세이상관람가 ","현빈,정재영,조정석,"
매드맥스: 분노의 도로 (2015),8.6,"2016.12.21(재개봉)","조지 밀러,"
남한산성 (2017),7.3,"140분, 15세이상관람가 ","이병헌,김윤석,박해일,고수,박희순,"
데드풀 2 (2017),6.8,"117분, 청소년관람불가 ","라이언 레이놀즈,조슈 브롤린,모레나 바카린,재지 비츠,줄리언 데니슨,"
암수살인 (2018),7.5,"110분, 15세이상관람가 ","김윤석,주지훈,"
미이라 (2017),6.3,"110분, 15세이상관람가 ","톰 크루즈,러셀 크로우,소피아 부텔라,애나벨 월리스,"
분노의 질주: 더 익스트림 (2017),8.4,"136분, 15세이상관람가 ","빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,"
너의 이름은. (2016),7.8,"2018.01.04(재개봉)","신카이 마코토,"
인턴 (2015),8.0,"121분, 12세이상관람가 ","앤 해서웨이,로버트 드 니로,"
라라랜드 (2016),8.0,"2017.12.08(재개봉)","데미안 셔젤,"
귀향 (2015),9.7,"127분, 15세이상관람가 ","강하나,최리,손숙,백수련,정무성,서미지,류신,임성철,오지혜,정인기,김민수,이승현,"
신의 한 수 (2014),7.1,"118분, 청소년관람불가 ","정우성,이범수,안성기,김인권,이시영,"
코코 (2017),8.9,"105분, 전체관람가 ","가엘 가르시아 베르날,안소니 곤잘레스,벤자민 브랫,르네 빅터,"
부러진 화살 (2011),9.5,"100분, 15세이상관람가 ","안성기,"
끝까지 간다 (2013),8.4,"111분, 15세이상관람가 ","이선균,조진웅,"
비긴 어게인 (2013),8.3,"104분, 15세이상관람가 ","키이라 나이틀리,마크 러팔로,"
스파이 (2013),6.3,"121분, 15세이상관람가 ","설경구,문소리,다니엘 헤니,"
그것만이 내 세상 (2017),8.7,"120분, 12세이상관람가 ","이병헌,윤여정,박정민,"
맨 인 블랙 3 (2012),7.3,"106분, 12세이상관람가 ","윌 스미스,토미 리 존스,조슈 브롤린,"
어바웃 타임 (2013),8.6,"123분, 15세이상관람가 ","도널 글리슨,레이첼 맥아담스,빌 나이,"
슈퍼배드 3 (2017),8.1,"90분, 전체관람가 ","스티브 카렐,크리스튼 위그,트레이 파커,"
데드풀 (2016),6.8,"108분, 청소년관람불가 ","라이언 레이놀즈,"
아이 캔 스피크 (2017),9.3,"119분, 12세이상관람가 ","나문희,이제훈,"
스타워즈 : 깨어난 포스 (2015),7.3,"135분, 12세이상관람가 ","데이지 리들리,존 보예가,오스카 아이삭,"
분노의 질주: 더 세븐 (2015),8.8,"138분, 15세이상관람가 ","빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀,"
터미네이터 제니시스 (2015),5.8,"125분, 15세이상관람가 ","아놀드 슈왈제네거,제이슨 클락,에밀리아 클락,제이 코트니,"
그래비티 (2013),8.1,"2018.08.29(재개봉)","알폰소 쿠아론,"
마녀 (2018),8.0,"126분, 15세이상관람가 ","김다미,조민수,박희순,최우식,"
탐정: 리턴즈 (2018),7.4,"116분, 15세이상관람가 ","권상우,성동일,이광수,"
감기 (2013),7.2,"122분, 15세이상관람가 ","장혁,수애,박민하,"
나우 유 씨 미2 (2016),6.8,"129분, 12세이상관람가 ","제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랭코,리지 캐플란,"
캐리비안의 해적: 죽은 자는 말이 없다 (2017),7.3,"129분, 12세이상관람가 ","조니 뎁,하비에르 바르뎀,브렌튼 스웨이츠,카야 스코델라리오,올랜도 블룸,"
스물 (2014),7.2,"115분, 15세이상관람가 ","김우빈,준호,강하늘,"
토르 : 다크 월드 (2013),7.6,"112분, 12세이상관람가 ","크리스 헴스워스,나탈리 포트만,톰 히들스턴,안소니 홉킨스,크리스토퍼 에클리스턴,"
인크레더블 2 (2018),8.1,"125분, 전체관람가 ","크레이그 T. 넬슨,홀리 헌터,사라 보웰,헉 밀너,사무엘 L. 잭슨,"
레드: 더 레전드 (2013),7.4,"116분, 15세이상관람가 ","브루스 윌리스,존 말코비치,메리 루이스 파커,이병헌,캐서린 제타 존스,안소니 홉킨스,헬렌 미렌,"
드래곤 길들이기2 (2014),8.3,"101분, 전체관람가 ","오승윤,안장혁,최석필,김서영,방성준,하성용,김현심,박성태,정승욱,키트 해링턴,이선주,"
형 (2016),7.3,"110분, 12세이상관람가 ","조정석,디오,박신혜,"
친구2 (2013),6.1,"124분, 청소년관람불가 ","유오성,주진모,김우빈,"
26년 (2012),8.3,"135분, 15세이상관람가 ","진구,한혜진,임슬옹,배수빈,이경영,장광,"
서치 (2018),8.3,"102분, 12세이상관람가 ","존 조,데브라 메싱,"
표적 (2014),6.6,"98분, 15세이상관람가 ","류승룡,유준상,이진욱,김성령,조여정,조은지,"
프리즌 (2016),7.2,"125분, 청소년관람불가 ","한석규,김래원,"
극비수사 (2015),7.7,"107분, 15세이상관람가 ","김윤석,유해진,"
표적 (2014),6.6,"98분, 15세이상관람가 ","류승룡,유준상,이진욱,김성령,조여정,조은지,"
앤트맨 (2015),7.9,"117분, 12세이상관람가 ","폴 러드,마이클 더글라스,에반젤린 릴리,"
호빗: 다섯 군대 전투 (2014),8.1,"144분, 12세이상관람가 ","이안 맥켈런,마틴 프리먼,"
호빗 : 뜻밖의 여정 (2012),8.1,"169분, 12세이상관람가 ","이안 맥켈런,마틴 프리먼,"
너의 결혼식 (2018),7.4,"110분, 12세이상관람가 ","박보영,김영광,"
메이즈 러너 (2014),7.1,"113분, 12세이상관람가 ","딜런 오브라이언,카야 스코델라리오,토마스 생스터,윌 폴터,"
빅 히어로 (2014),7.8,"108분, 전체관람가 ","라이언 포터,스캇 애짓,다니엘 헤니,"
덩케르크 (2017),7.5,"106분, 12세이상관람가 ","톰 하디,마크 라이런스,케네스 브래너,킬리언 머피,핀 화이트헤드,"
메이즈 러너: 스코치 트라이얼 (2015),6.6,"131분, 12세이상관람가 ","딜런 오브라이언,이기홍,카야 스코델라리오,토마스 생스터,"
가디언즈 오브 갤럭시 VOL. 2 (2017),8.2,"136분, 12세이상관람가 ","크리스 프랫,조 샐다나,"
내가 살인범이다 (2012),8.6,"119분, 청소년관람불가 ","정재영,박시후,"
나우 유 씨 미 : 마술사기단 (2013),7.6,"115분, 12세이상관람가 ","제시 아이젠버그,마크 러팔로,우디 해럴슨,멜라니 로랑,아일라 피셔,데이브 프랭코,마이클 케인,모건 프리먼,"
미스 페레그린과 이상한 아이들의 집 (2016),7.9,"127분, 12세이상관람가 ","에바 그린,에이사 버터필드,엘라 퍼넬,"
곤지암 (2016),5.4,"94분, 15세이상관람가 ","위하준,박지현,오아연,문예원,박성훈,이승욱,유제윤,"
소원 (2013),8.7,"123분, 12세이상관람가 ","설경구,엄지원,이레,"
살인자의 기억법 (2016),6.9,"118분, 15세이상관람가 ","설경구,김남길,설현,오달수,"
브레이킹 던 part2 (2012),7.9,"115분, 15세이상관람가 ","크리스틴 스튜어트,로버트 패틴슨,"
탐정 : 더 비기닝 (2015),7.5,"120분, 15세이상관람가 ","권상우,성동일,"
미니언즈 (2015),7.4,"91분, 전체관람가 ","산드라 블록,존 햄,마이클 키튼,피에르 코팽,남도형,박신희,김혜진,엄상현,"
후궁: 제왕의 첩 (2012),6.5,"122분, 청소년관람불가 ","조여정,김동욱,김민준,"
트랜스포머: 최후의 기사 (2017),5.5,"151분, 12세이상관람가 ","마크 월버그,안소니 홉킨스,로라 하독,조쉬 더하멜,"
제이슨 본 (2016),7.6,"123분, 15세이상관람가 ","맷 데이먼,"
지금 만나러 갑니다 (2017),7.9,"131분, 12세이상관람가 ","소지섭,손예진,"
도리를 찾아서 (2016),6.7,"97분, 전체관람가 ","엘렌 드제네레스,헤이든 롤렌스,알버트 브룩스,"
아수라 (2016),6.6,"132분, 청소년관람불가 ","정우성,황정민,주지훈,"
보안관 (2016),6.8,"115분, 15세이상관람가 ","이성민,조진웅,김성균,"
기술자들 (2014),6.3,"116분, 15세이상관람가 ","김우빈,김영철,고창석,이현우,조윤희,임주환,"
퍼시픽 림 (2013),7.0,"131분, 12세이상관람가 ","찰리 헌냄,아이드리스 엘바,키쿠치 린코,찰리 데이,로버트 카진스키,"
미션 임파서블 : 고스트 프로토콜 (2011),8.5,"132분, 15세이상관람가 ","톰 크루즈,"
정글북 (2016),6.8,"106분, 12세이상관람가 ","닐 세티,"
목격자 (2018),5.6,"111분, 15세이상관람가 ","이성민,김상호,진경,곽시양,"
마이펫의 이중생활 (2016),6.7,"90분, 전체관람가 ","엄상현,최석필,루이스 C.K.,에릭 스톤스트릿,케빈 하트,"
조작된 도시 (2017),8.0,"126분, 15세이상관람가 ","지창욱,심은경,"
반창꼬 (2012),8.3,"120분, 15세이상관람가 ","고수,한효주,"
보스 베이비 (2017),7.5,"97분, 전체관람가 ","알렉 볼드윈,스티브 부세미,토비 맥과이어,마일즈 크리스토퍼 바크시,이현,이장원,문서윤,"
화차 (2012),7.9,"117분, 15세이상관람가 ","이선균,김민희,조성하,"
이웃사람 (2012),8.0,"110분, 청소년관람불가 ","김윤진,마동석,천호진,김성균,김새론,임하룡,장영남,도지한,"
조선명탐정: 흡혈괴마의 비밀 (2017),6.6,"120분, 12세이상관람가 ","김명민,오달수,김지원,"
재심 (2016),8.2,"119분, 15세이상관람가 ","정우,강하늘,김해숙,"
화이 : 괴물을 삼킨 아이 (2013),7.4,"125분, 청소년관람불가 ","김윤석,여진구,조진웅,장현성,김성균,박해준,"
007 스카이폴 (2012),7.2,"143분, 15세이상관람가 ","다니엘 크레이그,하비에르 바르뎀,주디 덴치,"
박열 (2017),7.9,"129분, 12세이상관람가 ","이제훈,최희서,김인우,"
스파이 (2013),6.3,"121분, 15세이상관람가 ","설경구,문소리,다니엘 헤니,"
모아나 (2016),8.5,"113분, 전체관람가 ","드웨인 존슨,아우이 크라발호,"
테이큰 2 (2012),6.7,"92분, 청소년관람불가 ","리암 니슨,매기 그레이스,팜케 얀센,"
메이즈 러너: 데스 큐어 (2018),7.1,"143분, 12세이상관람가 ","딜런 오브라이언,토마스 생스터,카야 스코델라리오,이기홍,월튼 고긴스,"
신비한 동물들과 그린델왈드의 범죄 (2018),6.0,"134분, 12세이상관람가 ","에디 레드메인,캐서린 워터스턴,앨리슨 수돌,에즈라 밀러,주드 로,조니 뎁,칼럼 터너,"
맘마미아!2 (2018),7.8,"114분, 12세이상관람가 ","아만다 사이프리드,릴리 제임스,메릴 스트립,피어스 브로스넌,제레미 어바인,콜린 퍼스,휴 스키너,스텔란 스카스가드,조쉬 딜란,"
호빗 : 스마우그의 폐허 (2013),7.5,"161분, 12세이상관람가 ","마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,올랜도 블룸,"
컨저링 (2013),7.4,"112분, 15세이상관람가 ","베라 파미가,패트릭 윌슨,릴리 테일러,론 리빙스턴,"
배트맨 대 슈퍼맨: 저스티스의 시작 (2016),6.1,"151분, 12세이상관람가 ","벤 애플렉,헨리 카빌,"
레디 플레이어 원 (2017),7.9,"140분, 12세이상관람가 ","마크 라이런스,사이먼 페그,올리비아 쿡,타이 쉐리던,벤 멘델존,T.J. 밀러,"
배틀쉽 (2012),5.8,"131분, 12세이상관람가 ","테일러 키취,브룩클린 데커,리암 니슨,알렉산더 스카스가드,리한나,"
악의 연대기 (2015),7.2,"102분, 15세이상관람가 ","손현주,"
강남 1970 (2014),7.1,"135분, 청소년관람불가 ","이민호,김래원,"
맨 오브 스틸 (2013),7.4,"143분, 12세이상관람가 ","헨리 카빌,에이미 아담스,"
원더 우먼 (2017),6.7,"141분, 12세이상관람가 ","갤 가돗,로빈 라이트,크리스 파인,"
겟 아웃 (2017),7.5,"104분, 15세이상관람가 ","다니엘 칼루유야,앨리슨 윌리엄스,브래드리 휘트포드,캐서린 키너,"
나의 사랑 나의 신부 (2014),7.0,"111분, 15세이상관람가 ","조정석,신민아,"
굿바이 싱글 (2015),7.5,"120분, 15세이상관람가 ","김혜수,마동석,김현수,"
몽타주 (2013),8.2,"120분, 15세이상관람가 ","엄정화,김상경,송영창,"
명당 (2018),6.7,"126분, 12세이상관람가 ","조승우,지성,김성균,문채원,유재명,박충선,백윤식,"
논스톱 (2013),7.8,"106분, 15세이상관람가 ","리암 니슨,줄리안 무어,"
내부자들: 디 오리지널 (2015),9.0,"180분, 청소년관람불가 ","이병헌,조승우,백윤식,"
장화신은 고양이 (2011),7.9,"90분, 전체관람가 ","안토니오 반데라스,셀마 헤이엑,자흐 갈리피아나키스,"
인투 더 스톰 (2014),7.3,"89분, 12세이상관람가 ","리차드 아미티지,사라 웨인 칼리즈,제레미 섬터,"
로건 (2017),8.2,"137분, 청소년관람불가 ","휴 잭맨,"
뷰티 인사이드 (2014),6.8,"127분, 12세이상관람가 ","한효주,"
혹성탈출: 종의 전쟁 (2017),6.5,"140분, 12세이상관람가 ","앤디 서키스,우디 해럴슨,"
봉이 김선달 (2015),6.7,"121분, 12세이상관람가 ","유승호,조재현,고창석,라미란,시우민,"
노아 (2014),5.4,"139분, 15세이상관람가 ","러셀 크로우,제니퍼 코넬리,엠마 왓슨,안소니 홉킨스,로건 레먼,"
레버넌트: 죽음에서 돌아온 자 (2015),7.3,"156분, 15세이상관람가 ","레오나르도 디카프리오,톰 하디,"
남자가 사랑할 때 (2014),8.0,"120분, 15세이상관람가 ","황정민,한혜진,"
루시 (2014),6.7,"90분, 청소년관람불가 ","스칼렛 요한슨,모건 프리먼,최민식,"
협상 (2018),7.2,"114분, 15세이상관람가 ","손예진,현빈,"
애나벨: 인형의 주인 (2017),5.9,"108분, 15세이상관람가 ","알리시아 벨라-베일리,미란다 오토,"
컨저링 2 (2016),7.5,"131분, 15세이상관람가 ","베라 파미가,패트릭 윌슨,"
터보 (2013),8.8,"96분, 전체관람가 ","라이언 레이놀즈,"
수어사이드 스쿼드 (2016),5.6,"123분, 15세이상관람가 ","윌 스미스,자레드 레토,마고 로비,스콧 이스트우드,카라 델러비인,제이 코트니,"
오늘의 연애 (2014),6.6,"121분, 15세이상관람가 ","이승기,문채원,정준영,"
연애의 온도 (2013),7.5,"112분, 청소년관람불가 ","이민기,김민희,"
테이큰 3 (2015),6.5,"112분, 15세이상관람가 ","리암 니슨,팜케 얀센,매기 그레이스,"
코리아 (2012),8.4,"127분, 12세이상관람가 ","하지원,배두나,"
지.아이.조 2 (2013),6.7,"110분, 15세이상관람가 ","브루스 윌리스,드웨인 존슨,D.J. 코트로나,이병헌,아드리안 팔리키,레이 파크,채닝 테이텀,"
노무현입니다 (2017),9.5,"109분, 12세이상관람가 ",
집으로 가는 길 (2013),8.5,"131분, 15세이상관람가 ","전도연,고수,"
나의 PS 파트너 (2012),7.7,"114분, 청소년관람불가 ","지성,김아중,"
007 스펙터 (2015),6.3,"148분, 15세이상관람가 ","다니엘 크레이그,레아 세이두,크리스토프 왈츠,모니카 벨루치,"
분노의 질주: 더 맥시멈 (2013),8.4,"130분, 15세이상관람가 ","빈 디젤,폴 워커,드웨인 존슨,미셸 로드리게스,성강,루크 에반스,"
저스티스 리그 (2017),6.9,"120분, 12세이상관람가 ","벤 애플렉,갤 가돗,제이슨 모모아,레이 피셔,에즈라 밀러,헨리 카빌,"
공범 (2013),6.9,"96분, 15세이상관람가 ","손예진,김갑수,"
나를 찾아줘 (2014),7.6,"149분, 청소년관람불가 ","벤 애플렉,로자먼드 파이크,"
대호 (2015),7.7,"139분, 12세이상관람가 ","최민식,"
이미테이션 게임 (2014),8.1,"114분, 15세이상관람가 ","베네딕트 컴버배치,키이라 나이틀리,매튜 구드,"
전설의 주먹 (2013),7.1,"153분, 청소년관람불가 ","황정민,유준상,이요원,윤제문,정웅인,"
제보자 (2014),7.9,"113분, 12세이상관람가 ","박해일,이경영,유연석,"
씽 (2016),8.2,"108분, 전체관람가 ","매튜 맥커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,토리 켈리,세스 맥팔레인,"
러브픽션 (2011),6.7,"121분, 15세이상관람가 ","하정우,공효진,"
킬러의 보디가드 (2017),7.3,"125분, 15세이상관람가 ","라이언 레이놀즈,사무엘 L. 잭슨,"
언터처블 : 1%의 우정 (2011),9.1,"112분, 12세이상관람가 ","프랑수아 클뤼제,오마르 사이,"
샌 안드레아스 (2015),6.9,"114분, 12세이상관람가 ","드웨인 존슨,칼라 구기노,알렉산드라 다다리오,"
파파로티 (2012),9.0,"127분, 15세이상관람가 ","한석규,이제훈,"
쥬만지: 새로운 세계 (2017),7.5,"118분, 12세이상관람가 ","드웨인 존슨,케빈 하트,잭 블랙,카렌 길런,"
쎄시봉 (2015),3.9,"122분, 15세이상관람가 ","김윤석,정우,김희애,한효주,장현성,진구,"
콩: 스컬 아일랜드 (2017),6.5,"118분, 12세이상관람가 ","톰 히들스턴,사무엘 L. 잭슨,존 굿맨,브리 라슨,"
피끓는 청춘 (2013),7.8,"121분, 15세이상관람가 ","박보영,이종석,이세영,김영광,"
23 아이덴티티 (2016),6.6,"117분, 15세이상관람가 ","제임스 맥어보이,"
